patient_id,last_name,first_name,patronymic,birth_date,gender,insurance_policy,snils,address,phone
24,Князев,Валерий,Петровна,1986-03-01,Ж,28098851656049,451-983-273 15,"ст. Лабытнанги, алл. Карла Либкнехта, д. 194 стр. 54, 502296",+7 201 836 67 52
25,Гришин,Леонтий,Ниловна,1979-08-06,Ж,99102290147679,764-381-561 49,"г. Кетченеры, пер. Горный, д. 434 к. 54, 107622",8 838 851 60 60
26,Русаков,Бажен,Жанович,1993-11-14,М,96641605297516,136-968-164 53,"г. Тихвин, ул. Каштановая, д. 6 стр. 23, 432921",+7 (779) 979-95-52
27,Бобылев,Артем,Харитонович,1995-08-19,М,44905814770054,119-986-798 07,"д. Сортавала, алл. Овражная, д. 2/6 стр. 182, 778892",8 546 659 0515
28,Пономарев,Федосий,Кузьминична,1988-01-22,Ж,44925192546291,486-528-168 50,"п. Качканар, ш. Вахитова, д. 33 к. 51, 888059",+7 (962) 229-27-06
29,Артемьев,Евпраксия,Ниловна,1967-10-10,М,79473834735977,468-862-392 40,"д. Волхов, ш. Свободное, д. 2 стр. 84, 613750",8 068 536 15 30
30,Кабанов,Валерьян,Натановна,1981-01-29,М,22047277901043,289-861-434 10,"клх Юрьевец (Иван.), ул. Заозерная, д. 9/1 к. 52, 095396",+7 (185) 188-88-80
31,Гуляев,Рюрик,Андреевич,1988-02-06,Ж,54051531952058,527-722-170 43,"г. Моздок, пер. Розы Люксембург, д. 5/1 к. 64, 541566",8 (652) 775-84-16
32,Яковлев,Петр,Викторовна,1960-01-03,М,84511544796275,705-964-016 58,"п. Шилка, ш. Бабушкина, д. 421 стр. 6, 909275",8 719 285 6543
33,Фокина,Викентий,Адрианович,1960-10-07,Ж,78681447394731,217-271-551 88,"ст. Ербогачен, бул. Локомотивный, д. 9 стр. 41, 370589",8 782 911 4678
34,Бирюков,Татьяна,Устинович,1945-06-26,Ж,25177852892268,018-242-253 58,"к. Каменск-Шахтинский, пер. Прохладный, д. 94 стр. 382, 995900",+7 094 396 90 78
35,Савин,Анастасия,Ефимьевич,2001-03-05,Ж,36471027677359,255-562-588 15,"г. Курганинск, алл. Малая, д. 704 к. 4/3, 953278",8 (747) 016-87-33
36,Пономарева,Милован,Анисимович,1942-04-29,М,47974801624565,060-983-584 16,"ст. Юрюзань, пер. Стадионный, д. 71 стр. 6, 239868",+7 002 578 7298
37,Матвеев,Макар,Геннадиевна,1978-10-19,Ж,26949588879470,551-694-097 49,"д. Сочи, пер. Максима Горького, д. 13, 307562",8 368 970 28 38
38,Кулагин,Вероника,Харлампович,2006-12-18,М,65278585497334,843-443-757 58,"г. Хужир, пер. Воровского, д. 6/3 стр. 1, 157473",+7 (848) 421-9933
39,Комаров,Глафира,Архиповна,1966-02-28,Ж,30165712082677,345-401-938 02,"г. Переславль-Залесский, алл. Малиновая, д. 204 к. 5, 887287",+73152742054
40,Яковлева,Евдокия,Руслановна,1961-09-26,М,29668516122753,046-374-549 90,"клх Клин, бул. Стадионный, д. 5/3, 841459",+7 (327) 279-5687
41,Белякова,Тимофей,Феликсовна,1965-03-04,Ж,39187851910883,982-258-713 97,"ст. Белоярский, алл. Карбышева, д. 1/9 к. 5/1, 403910",8 518 017 04 62
42,Шилова,Всемил,Святославовна,1992-08-28,Ж,56766182512868,230-047-868 63,"к. Елец, алл. Урожайная, д. 169 к. 23, 907903",+7 673 830 2843
43,Лапина,Наина,Вадимовна,1978-11-06,М,99534283644089,268-705-685 66,"с. Йошкар-Ола, пр. Слободской, д. 34 стр. 1/9, 688263",+73517518304
44,Симонов,Евгения,Викторовна,1940-10-29,М,13983735403317,393-638-546 78,"к. Новосибирск, пр. Ульянова, д. 475 стр. 6, 093204",8 (996) 423-5369
45,Пахомова,Иннокентий,Эдуардович,1981-05-22,М,47772522872808,010-062-312 03,"г. Южно-Курильск, бул. Клары Цеткин, д. 1/1 стр. 1/1, 840862",+7 182 339 84 54
46,Горбачева,Никон,Артурович,1986-03-21,М,67933410166687,002-176-591 80,"ст. Хасавюрт, наб. Шоссейная, д. 148 к. 15, 926142",83968562185
47,Киселев,Валерьян,Феодосьевич,1967-01-15,Ж,15999650477358,662-961-943 11,"с. Елатьма, пр. Крупской, д. 2 стр. 804, 412126",8 (888) 610-15-81
48,Рябова,Эммануил,Станиславовна,1979-08-08,М,60466183982622,444-721-264 64,"к. Красногорск (Моск.), бул. Мая 1, д. 27, 406596",8 756 924 5937
49,Исаев,Демьян,Тихонович,1978-11-18,М,47935646519398,280-737-416 72,"к. Елатьма, пр. Репина, д. 879 стр. 9/9, 805891",+7 352 909 65 61
50,Лебедев,Валерьян,Дорофеевич,1965-08-29,М,88899375679825,071-461-125 45,"д. Старый Оскол, пр. Фестивальный, д. 8/6 к. 240, 512382",8 (258) 673-6226
51,Вишняков,Алексей,Оскаровна,1962-04-21,Ж,79660334191825,537-147-859 69,"к. Нижний Тагил, пер. Коллективный, д. 2 к. 25, 412528",8 692 966 27 82
52,Кузьмина,Гурий,Эдгардович,1974-10-04,Ж,22579050723688,767-677-219 03,"к. Кимры, наб. Радужная, д. 8/9 стр. 591, 807836",+7 340 745 17 13
53,Гаврилов,Нинель,Валентиновна,1983-03-02,Ж,96292330958498,254-494-812 60,"клх Дагомыс, алл. Космонавтов, д. 86, 946671",+7 684 577 59 01
54,Мартынова,Ратмир,Евгеньевна,1984-03-14,Ж,18636374545892,975-001-701 27,"с. Канск, алл. Дружбы, д. 24 стр. 5, 520643",8 110 371 29 38
55,Блинова,Прокл,Августович,1936-07-17,М,51627136111554,262-218-909 27,"клх Екатеринбург, пер. Азина, д. 21 к. 71, 652341",+7 (899) 940-4389
56,Волкова,Евгений,Робертовна,1988-10-06,Ж,40376137918055,269-658-271 09,"к. Кашира, ул. Розы Люксембург, д. 9, 661889",+7 (414) 183-28-56
57,Лазарева,Алевтина,Рудольфовна,1944-06-11,Ж,46303161799042,102-027-588 42,"клх Курск, ул. Красноармейская, д. 7 стр. 9, 491778",8 079 252 4191
58,Панов,Оксана,Яковлевич,1935-10-18,М,00307562208635,365-419-518 02,"с. Боровск, ш. Запорожское, д. 6 к. 187, 349493",8 (597) 383-20-60
59,Абрамов,Тит,Изотович,1936-10-01,Ж,50641383670241,038-657-191 82,"д. Хасан, пр. Мельничный, д. 54, 655743",+7 329 121 27 75
60,Авдеев,Виссарион,Антоновна,1984-03-17,М,37474112490352,135-680-442 06,"г. Славянск-на-Кубани, ш. Казачье, д. 400, 365199",+71013721510
61,Бурова,Роман,Анисимович,1958-04-23,М,96670662532447,209-993-476 87,"к. Орел, пр. Крымский, д. 18, 578759",8 (564) 205-9304
62,Андреев,Савва,Архиповна,1984-02-04,М,93213348039652,239-559-059 92,"д. Миллерово, пр. Почтовый, д. 403, 870593",+7 (525) 002-92-18
63,Кононова,Михаил,Артёмович,1986-04-17,М,69154522675289,539-264-422 09,"п. Шахты, ш. Черноморское, д. 672 к. 635, 157043",+7 (154) 100-6762
64,Вишнякова,Остромир,Эдгарович,1986-12-27,Ж,58617932710405,411-526-218 15,"с. Забайкальск, пр. Депутатский, д. 415 стр. 96, 443106",88720506149
65,Кондратьев,Евстигней,Богданович,1938-12-13,Ж,32417146774186,256-527-047 74,"д. Бирск, ш. Фестивальное, д. 758, 806868",8 (937) 416-08-98
66,Ефремова,Филимон,Кузьминична,1955-07-07,Ж,17223320616329,451-168-685 48,"ст. Юрюзань, пер. Маркса Карла, д. 362 стр. 219, 856467",89702462996
67,Воробьев,Николай,Игнатович,1967-10-13,М,07450544471324,754-691-373 67,"д. Ершов, наб. 1 Мая, д. 3/9, 233030",8 (053) 457-86-10
68,Трофимов,Мокей,Эдгардович,1996-02-28,Ж,27985524140602,933-334-680 07,"д. Алапаевск, наб. Маяковского, д. 7, 574374",8 (969) 108-5899
69,Воронцов,Лаврентий,Леоновна,1950-02-27,М,71545444328309,652-074-466 60,"клх Кизел, пер. Металлургов, д. 9 стр. 3, 417248",+7 (513) 534-65-54
70,Григорьева,Куприян,Фомич,1951-06-23,М,70999173816846,022-356-972 52,"к. Яхрома, наб. Майская, д. 474, 927129",8 666 760 08 35
71,Стрелкова,Агафон,Захарьевич,2007-09-20,М,30033542168942,104-478-985 62,"к. Калач, ш. 50 лет ВЛКСМ, д. 333, 098215",+7 648 909 0100
72,Маслова,Виктор,Фёдорович,1995-12-01,Ж,61847230461849,926-189-141 17,"ст. Кулу, алл. Фурманова, д. 5/3 стр. 487, 530011",87218114374
73,Лобанов,Ростислав,Анисимович,1949-01-11,Ж,20455611002255,794-155-216 67,"клх Сосногорск, бул. Ольховый, д. 320 к. 869, 296590",+7 (771) 670-14-50
74,Горбунова,Евфросиния,Андреевна,1965-12-06,Ж,58891637562890,028-772-175 35,"д. Кизилюрт, бул. Циолковского, д. 4/2 стр. 8/8, 775170",+7 660 880 19 94
75,Брагина,Симон,Артемовна,1963-08-07,М,75503758997571,130-554-885 10,"п. Поярково, наб. Привольная, д. 71, 735160",81779827080
76,Титова,Пимен,Владимировна,2001-03-04,М,82922169958669,346-547-226 98,"клх Усть-Калманка, алл. Путейская, д. 59 стр. 3, 885158",8 (996) 846-08-10
77,Фадеев,Галактион,Антипович,1943-02-24,Ж,34244204380571,983-863-840 66,"д. Белореченск, бул. Ударный, д. 89, 598933",+77212281606
78,Наумов,Федор,Евсеевич,1953-02-23,М,29405720259094,798-515-832 81,"д. Уварово, ул. Тимирязева, д. 63 к. 6, 398780",+7 573 993 05 61
79,Мамонтов,Исай,Аскольдовна,1973-12-09,Ж,08588770435811,288-013-361 38,"клх Елатьма, пр. Толстого, д. 111, 481934",8 676 650 61 80
80,Тимофеева,Маргарита,Геннадьевна,1944-01-20,Ж,90158144914766,072-832-684 24,"д. Усть-Катав, ул. Дачная, д. 799, 435368",+7 (223) 943-12-90
81,Владимирова,Полина,Аркадьевна,1998-03-23,Ж,81414139755231,491-357-759 49,"ст. Моздок, алл. Новая, д. 4 к. 56, 257775",+77812914283
82,Назаров,Наталья,Даниловна,1945-11-07,М,10809969308488,725-639-427 88,"к. Тверь, бул. Волочаевский, д. 38, 229927",8 037 314 5303
83,Семенова,Мирослав,Терентьевич,1999-05-15,Ж,70051844989266,591-846-386 55,"д. Азов (Рост.), алл. Щетинкина, д. 23 стр. 4, 225913",8 517 773 92 60
84,Мартынов,Аникей,Валерьянович,1957-05-17,М,28092024286990,413-797-723 69,"д. Тихорецк, алл. Володарского, д. 2/4 к. 7/3, 038862",81279908811
85,Силин,Василиса,Васильевич,1935-08-11,М,68650863765991,624-731-498 64,"клх Алагир, пер. Пригородный, д. 663 стр. 6/2, 694486",85946368872
86,Гришин,Федот,Анатольевна,2001-04-14,Ж,44956213721386,589-026-012 79,"г. Кулу, наб. Российская, д. 966, 902770",+7 (843) 098-8392
87,Давыдова,Анатолий,Иосипович,1968-01-04,Ж,02146566938011,848-955-439 37,"к. Игарка, пер. Загородный, д. 684 к. 984, 769735",8 (790) 714-16-33
88,Ефремова,Лука,Фадеевич,1983-07-03,Ж,88043416518275,539-423-733 34,"п. Красная Поляна, наб. Прудовая, д. 811 стр. 880, 957947",+7 (846) 392-08-67
89,Лихачева,Тимур,Александрович,2003-11-01,Ж,56271875003691,559-428-434 79,"п. Тамбей, алл. Маркса Карла, д. 6 к. 5/8, 929314",+7 (866) 322-7026
90,Лебедева,Всеволод,Дмитриевна,2005-10-23,М,85744890612034,717-545-588 45,"г. Нижний Новгород, пер. Выгонный, д. 64 стр. 9, 716947",+7 (256) 996-11-25
91,Панов,Лонгин,Жоресович,1975-02-06,М,49647598762202,341-326-111 78,"ст. Переславль-Залесский, ш. Народное, д. 349 стр. 464, 472282",+7 055 778 4872
92,Силина,Ия,Аскольдовна,1959-07-17,Ж,99796884578317,456-424-008 25,"д. Алапаевск, пр. Беляева, д. 1 стр. 5/4, 853686",8 326 634 16 38
93,Жданова,Юлий,Филипповна,1972-06-12,М,48463122417974,973-502-080 21,"п. Самара, ул. Лесозаводская, д. 820 стр. 75, 757051",+7 (046) 187-23-46
94,Федосеева,Агап,Валерьевич,1969-04-30,М,67303718376452,088-147-435 03,"клх Рязань, ул. Славянская, д. 2 к. 4/1, 979251",+7 (271) 950-0528
95,Кошелева,Вацлав,Валерьянович,2001-11-03,М,35857306524077,848-739-285 57,"г. Тутаев, пр. Калинина, д. 9, 708620",85935186387
96,Наумова,Устин,Витальевич,1973-12-24,М,56511810220317,310-967-899 40,"д. Бреды, алл. Победа, д. 670, 509480",+7 413 811 38 63
97,Блинов,Степан,Игоревна,1969-04-21,М,92886195761228,685-289-755 85,"ст. Яшкуль, ш. Шевченко, д. 99 к. 96, 577600",+79082404335
98,Соловьев,Фаина,Юльевна,1973-01-01,Ж,88899210752245,933-441-969 31,"п. Сузун, бул. Кубанский, д. 1 стр. 2/1, 566139",+7 604 805 8925
99,Новикова,Ия,Гурьевич,1956-04-18,М,06799813646225,179-086-416 86,"с. Устюжна, пр. Геологов, д. 98, 314659",+7 166 553 55 90
100,Воронцова,Лев,Власович,1983-01-16,Ж,97927033521103,924-051-477 05,"п. Усмань, ш. Отрадное, д. 3/1 стр. 9/1, 204394",+7 701 645 1046
101,Суворов,Натан,Яковлевич,1949-01-01,Ж,57981238780038,457-620-555 43,"клх Красноуфимск, ш. Красноармейское, д. 4 к. 75, 168936",+7 (926) 495-7823
102,Суханова,Всеслав,Васильевна,1962-12-24,Ж,24826292518812,520-566-474 23,"п. Ардон, пер. Черемуховый, д. 49 стр. 60, 728975",+7 (677) 223-30-60
103,Уварова,Касьян,Фадеевич,1965-09-26,Ж,33127975736609,656-999-880 81,"ст. Баксан, пер. Димитрова, д. 986, 347644",8 (264) 908-27-71
104,Абрамова,Сидор,Брониславович,1959-11-30,М,98266570279371,452-111-751 86,"д. Оленек, ш. Стахановское, д. 3, 220644",8 (421) 230-94-07
105,Соколова,Сигизмунд,Альбертовна,1936-03-24,М,97339776719903,849-830-220 50,"клх Чебоксары, наб. Толстого, д. 701 стр. 52, 795014",8 561 681 4721
106,Тихонова,Кир,Игнатович,2007-03-06,Ж,68339019817946,954-899-529 97,"ст. Ирбит, алл. Ленина, д. 20 стр. 471, 605583",+7 344 144 8850
107,Данилов,Жанна,Игнатьевич,1981-11-27,Ж,69902355770272,785-760-849 58,"д. Надым, ул. Учительская, д. 1 к. 7, 996291",+75046173574
108,Горбунов,Станислав,Ефимьевич,1959-04-07,М,15031780782357,845-218-230 76,"к. Балашов, ш. Базарное, д. 8 стр. 518, 943533",+74857142241
109,Новиков,Януарий,Артемовна,2005-05-30,Ж,13858542493214,958-702-070 16,"с. Павловский Посад, бул. Подстанция, д. 5, 381792",+7 717 477 33 29
110,Михеев,Михаил,Тимурович,1960-05-26,Ж,55770171577245,992-816-158 14,"д. Псебай, пер. Петровский, д. 77, 539669",8 832 197 1997
111,Кулагин,Федор,Богданович,1996-01-15,М,24619196570132,902-278-469 97,"клх Мокшан, пер. Свободы, д. 6/2 к. 798, 405800",8 (514) 036-9656
112,Корнилов,Наум,Феодосьевич,1964-03-11,Ж,27238656242201,027-621-267 96,"д. Ржев, ш. Химиков, д. 6/4 стр. 16, 384689",8 009 751 9712
113,Трофимова,Наина,Андреевна,1973-06-23,М,78189137189490,580-778-795 65,"п. Астрахань, пер. Свободы, д. 1 стр. 3/1, 904712",8 (144) 294-4401
114,Жукова,Демид,Вениаминовна,1956-01-06,Ж,75243728051292,766-372-395 04,"п. Слюдянка, пр. Мичурина, д. 9/4 к. 7/8, 286047",8 580 185 69 45
115,Потапов,Карл,Феликсовна,1948-10-27,М,49673938525800,106-181-753 44,"г. Южноуральск, ул. Тамбовская, д. 311, 921244",8 (174) 654-21-40
116,Фадеев,Никанор,Игнатьевич,1943-08-15,М,44271739627128,639-174-101 19,"г. Талдом, бул. Советский, д. 364, 690877",8 618 306 71 98
117,Рожкова,Мирон,Игнатьевич,1976-08-29,Ж,60158517432806,346-157-173 20,"клх Чусовой, пр. 30 лет Победы, д. 884, 005050",8 138 782 93 10
118,Горшкова,Вячеслав,Эдгардович,1938-01-15,М,79032020417929,111-799-313 65,"г. Чайковский, алл. Космонавтов, д. 30 стр. 2, 426258",+7 (739) 021-96-20
119,Шарова,Севастьян,Артурович,1936-04-23,М,02194672324876,329-092-791 45,"д. Клин, ул. Кубанская, д. 9, 734031",+7 (772) 200-54-36
120,Овчинников,Марк,Георгиевна,1997-02-13,Ж,01082207811379,956-353-153 13,"с. Кетченеры, пр. Водников, д. 462, 265273",8 435 209 0421
121,Артемьева,Рубен,Фокич,1992-05-14,М,25349292983168,739-774-063 35,"д. Дудинка, ул. Марта 8, д. 907 стр. 768, 177318",+7 632 543 1074
122,Марков,Ксения,Фокич,1938-10-08,М,77262570165804,649-893-195 08,"г. Орел, пр. Дорожный, д. 6 к. 28, 253817",83355486401
123,Кононов,Мечислав,Филимонович,2001-08-15,Ж,88178847951371,162-411-241 27,"д. Ямбург, наб. Баумана, д. 67, 704310",+7 (856) 955-7988
124,Белозеров,Ратмир,Ефимьевич,1953-05-28,Ж,42437540254729,284-222-231 05,"к. Нязепетровск, алл. Строительная, д. 6, 578284",+7 067 275 20 88
125,Нестеров,Анжелика,Максимовна,1975-09-03,М,74929751702814,069-375-150 93,"п. Апрелевка, пер. Подстанция, д. 486, 599805",8 265 650 45 54
126,Рожков,Феликс,Афанасьевич,1964-10-20,М,76742662991234,785-196-106 46,"клх Хасан, алл. Производственная, д. 5/9, 049478",8 (300) 244-71-46
127,Ефимов,Селиверст,Львовна,1968-10-03,Ж,01471959796471,589-042-902 57,"п. Белорецк, наб. Маркса Карла, д. 1 к. 5, 832192",8 (554) 451-8952
128,Козлов,Всеслав,Ярославович,1973-09-30,Ж,57652132833898,881-671-120 75,"п. Саратов, пер. Володарского, д. 14 стр. 332, 423216",+7 107 603 10 89
129,Ковалев,Рюрик,Валерианович,1969-11-18,М,01401193932501,249-552-893 89,"ст. Чегем, пер. Тамбовский, д. 34, 138759",+7 (712) 566-38-36
130,Цветков,Синклитикия,Жанович,1952-04-08,М,71827548015716,479-473-864 63,"клх Нурлат, ул. Победа, д. 967, 126691",+7 (153) 539-61-36
131,Мухина,Сигизмунд,Елисеевич,1972-08-06,М,65796784271147,732-010-170 26,"к. Юрьев-Польский, ул. Магистральная, д. 8/4 стр. 8, 848588",+7 061 675 6770
132,Голубев,Демьян,Анатольевна,1976-09-09,М,27624671978897,782-806-479 69,"к. Биробиджан, пер. Трудовой, д. 65, 561655",8 503 334 91 14
133,Данилов,Мартын,Власович,1938-02-16,М,85076986407905,696-591-713 57,"д. Малая Вишера, пр. Проезжий, д. 2/9 к. 54, 496391",81954198763
134,Шубин,Бажен,Захаровна,1976-07-11,Ж,84685366498782,082-973-748 96,"к. Славянск-на-Кубани, алл. Короткая, д. 7, 513644",+7 (493) 631-23-03
135,Орехова,Леонид,Фомич,2001-07-04,М,86603242044820,700-159-416 51,"п. Вязьма, бул. Громова, д. 989 стр. 8, 391559",8 363 212 34 76
136,Панфилов,Харитон,Антонович,2002-03-08,М,85158673425754,090-034-864 51,"с. Алапаевск, наб. Мичурина, д. 434 к. 67, 041776",8 612 481 5698
137,Чернова,Макар,Филиппович,1939-03-03,М,02720634591123,829-657-724 29,"п. Вендинга, наб. Саратовская, д. 7/4 к. 408, 734206",86942152910
138,Рыбакова,Степан,Феодосьевич,1997-03-12,Ж,71333447626393,436-262-044 39,"к. Череповец, бул. Гафури, д. 307 стр. 7, 669411",8 (005) 375-9900
139,Селезнев,Силантий,Геннадьевна,1987-04-17,М,46528092428757,215-862-415 02,"клх Новочеркасск, наб. Механическая, д. 9 к. 7, 572870",+7 (203) 207-4276
140,Жуков,Серафим,Анатольевич,1995-07-16,Ж,58777121513422,849-939-089 26,"ст. Тамбей, ул. Урицкого, д. 741 стр. 2, 201777",+79050975923
141,Дементьева,Анисим,Феликсовна,1973-12-15,Ж,50189616423610,326-642-147 64,"клх Владикавказ, пер. Крымский, д. 8/7 к. 5/7, 659266",+7 085 732 78 81
142,Савин,Руслан,Феодосьевич,1946-03-23,М,74224386490810,818-661-794 54,"г. Славянск-на-Кубани, ш. Саратовское, д. 1/2, 459779",+75232194168
143,Петров,Аверкий,Тихонович,1951-04-30,М,02776974995641,220-310-303 72,"ст. Ялуторовск, алл. Дальняя, д. 8 стр. 77, 122777",+7 793 349 6050
144,Ершов,Агафья,Натановна,1994-03-19,Ж,67998407678997,308-069-581 46,"с. Юрьевец (Иван.), наб. Рылеева, д. 1/3 стр. 4, 573839",8 972 466 5729
145,Аксенов,Кондрат,Львовна,1947-03-06,Ж,72232971674338,005-452-280 15,"д. Кинешма, пер. Вольный, д. 5/6, 084289",+7 077 119 91 80
146,Петрова,Василий,Владленович,1951-07-07,Ж,35247871255213,760-375-482 14,"к. Ярославль, алл. Деповская, д. 4/3 стр. 7/7, 850720",8 (115) 562-6060
147,Коновалова,Анастасия,Вилорович,1943-04-25,Ж,84668455048926,738-997-563 41,"с. Грозный, пер. Дальневосточный, д. 91 стр. 9, 200894",+7 (468) 105-4851
148,Белов,Регина,Захаровна,1952-06-04,Ж,74907539989354,492-683-158 93,"г. Домодедово, пр. Морозова, д. 710 стр. 47, 158698",8 (649) 767-7622
149,Морозова,Владимир,Чеславович,1997-09-28,М,28813770285196,115-940-821 54,"к. Ступино, ш. Волгоградское, д. 79, 443270",+7 851 067 94 97
150,Бирюкова,Мартын,Станиславовна,1986-10-18,М,79228777251996,636-580-741 20,"клх Устюжна, алл. Цветочная, д. 97, 182043",+7 (971) 895-6907
151,Дементьева,Азарий,Измаилович,1994-12-04,М,26085641118242,241-246-209 52,"к. Охотск, наб. Морская, д. 6/5, 103399",+7 (788) 614-0578
152,Авдеев,Артемий,Харлампьевич,1939-05-19,М,63048913824967,183-258-238 68,"г. Слюдянка, наб. Славянская, д. 507 стр. 7, 398402",8 (914) 161-2846
153,Гаврилов,Юлиан,Юльевич,1978-10-07,Ж,54743553795020,970-026-876 81,"ст. Саянск, ул. К.Маркса, д. 6/7 стр. 20, 537030",+75319433750
154,Шилов,Семен,Максимовна,1963-11-26,М,03614987283999,219-212-493 84,"клх Тымовское, наб. Просвещения, д. 660 стр. 7/5, 877580",+7 (046) 875-0635
155,Сорокин,Филимон,Филипповна,1938-11-25,М,36133254110760,954-317-350 58,"ст. Шатура, пр. Кубанский, д. 2/2 стр. 606, 207049",8 110 804 66 19
156,Лобанова,Остап,Даниилович,1936-11-21,М,76769915078593,110-919-392 84,"с. Юровск, алл. Харьковская, д. 10 к. 74, 498227",+79545089203
157,Петрова,Федот,Антипович,1992-11-20,М,53331537795995,946-521-707 30,"с. Юрюзань, алл. Мусы Джалиля, д. 7, 620501",8 081 247 3950
158,Турова,Амвросий,Герасимович,1962-05-15,М,42342583230241,026-153-473 55,"клх Бодайбо, алл. Мельничная, д. 93, 559630",89384253042
159,Владимирова,Симон,Владимировна,2001-12-30,М,31791286857872,558-777-496 90,"п. Сеймчан, пр. Красноярский, д. 7, 925481",+7 (147) 853-90-78
160,Федотова,Мартын,Федотович,1996-11-05,М,76657546027341,514-888-143 11,"г. Усмань, наб. Курортная, д. 5, 439284",+7 445 669 0782
161,Симонова,Никон,Давыдович,1966-05-01,М,37389877515366,377-805-292 40,"к. Кимры, пр. 50 лет ВЛКСМ, д. 6 к. 390, 599996",8 361 863 71 59
162,Блохина,Радислав,Егоровна,1976-11-28,М,12182097023164,334-817-058 02,"с. Енисейск, алл. Правды, д. 2/7, 234672",89493874302
163,Рожков,Арсений,Юрьевна,1989-10-13,Ж,93859777901475,469-263-296 76,"с. Балашиха, ш. Авиационное, д. 9, 137681",8 118 567 2438
164,Беляев,Роман,Адрианович,1945-05-29,М,76563600412577,711-837-274 22,"п. Магас, пер. Черняховского, д. 11, 275230",8 (370) 816-4709
